CompTotal;Gender;Manager;YearsCode;Age1stCode;YearsCodePro;Education
82000;Man;IC;13;14;5;Master's
140000;Man;IC;7;13;4;Bachelor's
145000;Man;IC;37;12;24;Bachelor's
125000;Man;IC;7;25;3;Bachelor's
230000;Man;Manager;40;16;35;Master's
250000;Man;IC;15;16;7;Master's
88000;Man;IC;7;18;3;Bachelor's
135000;Man;IC;20;6;12;Master's
75000;Man;IC;10;10;4;Less than bachelor's
80000;Man;IC;8;18;2;Bachelor's
110000;Man;Manager;26;9;10;Master's
132000;Man;IC;30;Younger than 5 years;6;Bachelor's
450000;Man;IC;25;10;21;Less than bachelor's
150000;Man;IC;13;22;9;Master's
32000;Man;IC;12;12;5;Less than bachelor's
167436;Man;Manager;21;15;15;Bachelor's
140000;Man;IC;10;27;7;PhD
140000;Man;IC;9;19;5;Bachelor's
135000;Man;IC;9;16;4;Bachelor's
125000;Man;IC;10;19;4;Master's
74550;Man;IC;5;16;3;Bachelor's
232000;Man;IC;14;13;7;Bachelor's
185000;Man;IC;23;14;16;Master's
111000;Man;IC;37;18;33;Bachelor's
200000;Man;Manager;19;8;9;Less than bachelor's
128500;Man;IC;25;12;20;Less than bachelor's
80000;Man;IC;4;22;2;Master's
88148;Man;IC;29;9;17;Less than bachelor's
120000;Man;IC;20;10;9;Less than bachelor's
93000;Man;IC;10;14;5;Bachelor's
140000;Man;IC;30;10;16;Bachelor's
84000;Man;IC;2;27;2;Bachelor's
75000;Man;IC;6;9;3;Bachelor's
80000;Man;IC;10;16;5;Master's
97000;Man;IC;17;9;13;PhD
130000;Woman;IC;4;23;4;Bachelor's
80000;Woman;IC;10;34;10;Master's
67500;Woman;IC;15;10;6;Bachelor's
130000;Man;IC;8;15;4;Less than bachelor's
100000;Man;Manager;3;25;3;Bachelor's
150000;Man;Manager;14;10;7;Bachelor's
125000;Man;IC;19;17;15;Bachelor's
56250;Man;IC;16;11;5;Less than bachelor's
100000;Man;IC;8;15;5;Master's
66000;Man;IC;7;18;2;Bachelor's
73500;Man;IC;20;16;10;Less than bachelor's
65000;Man;IC;11;17;7;Bachelor's
130000;Man;IC;13;13;8;Bachelor's
98500;Man;Manager;19;13;14;Bachelor's
60000;Man;IC;5;13;Less than 1 year;Less than bachelor's
53000;Man;IC;13;17;6;Bachelor's
106000;Man;IC;30;15;19;NA
109000;Man;IC;5;20;2;Bachelor's
260000;Man;IC;10;10;6;Less than bachelor's
97000;Man;IC;22;13;18;Less than bachelor's
94000;Man;IC;7;15;7;Less than bachelor's
77000;Man;IC;2;40;1;NA
101000;Woman;IC;7;30;7;Bachelor's
250000;Man;IC;9;15;3;Bachelor's
120000;Man;IC;5;10;4;Master's
75000;Man;IC;3;23;1;Less than bachelor's
138000;Man;IC;27;30;19;Bachelor's
92000;Woman;IC;6;19;5;Bachelor's
90000;Man;IC;14;13;10;Bachelor's
89000;Man;IC;17;16;12;Less than bachelor's
75000;Man;IC;6;17;2;Bachelor's
60000;Man;IC;6;9;2;Less than bachelor's
170000;Man;IC;21;15;20;Master's
34284;Man;IC;11;10;5;Master's
210000;Man;IC;10;12;6;Bachelor's
80000;Man;IC;4;18;2;Bachelor's
120000;Man;IC;20;7;10;Less than bachelor's
85000;Man;IC;10;15;2;Bachelor's
96000;Man;IC;30;8;15;Master's
100000;Man;IC;8;19;4;Bachelor's
70000;Man;IC;7;12;4;Bachelor's
90000;Man;IC;3;20;Less than 1 year;Less than bachelor's
200000;Man;IC;30;12;23;Master's
190000;Man;IC;38;15;32;Bachelor's
95000;Man;IC;35;15;20;Less than bachelor's
146000;Man;IC;12;16;10;Less than bachelor's
157500;Man;IC;16;15;12;Bachelor's
54000;Man;IC;4;15;1;Less than bachelor's
155000;Man;IC;7;18;4;Bachelor's
135000;Man;IC;27;7;9;Bachelor's
92000;Man;IC;10;14;10;Bachelor's
94000;Man;IC;10;13;5;Master's
85000;Man;IC;25;5;8;Bachelor's
80000;Woman;IC;4;21;2;Master's
250000;Man;Manager;18;16;11;Master's
160000;Woman;IC;12;18;5;Master's
135000;Man;IC;20;16;16;Bachelor's
55000;Man;IC;6;19;2;Bachelor's
84000;Man;IC;14;17;9;Bachelor's
95000;Man;IC;25;13;8;Master's
135000;Man;IC;5;8;2;Master's
80000;Man;IC;10;20;8;Bachelor's
90000;Man;IC;8;18;6;Less than bachelor's
110000;Woman;IC;8;28;3;Master's
60000;Man;IC;7;12;Less than 1 year;Bachelor's
70000;Man;IC;10;12;6;Bachelor's
90000;Man;IC;10;14;7;Bachelor's
127000;Man;IC;4;18;2;Master's
117000;Man;IC;23;8;21;Bachelor's
85000;Man;IC;20;9;5;Bachelor's
79000;Woman;IC;25;24;21;Less than bachelor's
105000;Man;IC;3;18;2;Less than bachelor's
60000;Woman;IC;3;10;2;Bachelor's
55000;Woman;IC;5;15;1;Bachelor's
118000;Man;IC;8;18;4;Bachelor's
95000;Man;Manager;14;17;9;Bachelor's
125000;Man;IC;10;20;6;Bachelor's
100000;Man;IC;13;12;9;Bachelor's
93000;Man;IC;11;20;8;Bachelor's
83000;Man;IC;10;13;4;Bachelor's
95000;Man;IC;30;7;18;Bachelor's
115000;Man;IC;10;8;7;Bachelor's
130000;Man;IC;23;12;3;Bachelor's
70000;Man;IC;7;16;4;Bachelor's
110000;Man;IC;13;16;5;Bachelor's
82000;Man;IC;23;11;10;Less than bachelor's
90000;Man;IC;18;21;18;Bachelor's
110000;Man;IC;5;12;3;Bachelor's
105000;Woman;IC;18;11;13;Bachelor's
180000;Man;IC;20;6;16;Bachelor's
75000;Man;IC;6;14;1;Bachelor's
160000;Man;IC;10;14;3;Bachelor's
130000;Man;IC;6;23;5;Bachelor's
80000;Man;IC;10;15;7;Bachelor's
195000;Man;Manager;30;17;25;Master's
56100;Man;IC;2;16;2;Bachelor's
95000;Man;IC;12;10;5;Bachelor's
95000;Man;IC;26;10;21;Less than bachelor's
92000;Man;IC;10;13;3;Bachelor's
74000;Woman;IC;20;13;10;Bachelor's
100000;Woman;IC;4;22;2;Bachelor's
70000;Man;IC;8;14;6;Bachelor's
48000;Man;IC;8;17;4;Bachelor's
85000;Man;IC;9;14;4;Bachelor's
80000;Man;IC;12;16;10;Master's
63000;Man;IC;5;14;3;Bachelor's
64000;Man;IC;7;16;2;Bachelor's
70000;Man;IC;15;12;2;Less than bachelor's
90000;Woman;IC;2;25;1;Bachelor's
52000;Man;IC;25;25;2;Professional
500000;Man;IC;30;8;21;Bachelor's
123000;Man;IC;13;17;10;Bachelor's
115000;Woman;IC;4;23;3;Bachelor's
75000;Man;IC;4;15;1;Bachelor's
82000;Woman;IC;15;8;5;Master's
160000;Man;IC;10;12;10;Less than bachelor's
60000;Man;IC;15;10;10;Bachelor's
163500;Man;IC;40;14;31;Master's
51750;Man;IC;6;14;2;Less than bachelor's
80500;Woman;IC;9;13;6;Bachelor's
96000;Man;Manager;19;13;11;Bachelor's
52000;Man;IC;2;20;1;Bachelor's
250000;Man;IC;24;8;23;Master's
172000;Man;IC;30;11;22;Master's
200000;Man;Manager;20;18;18;Master's
115000;Man;IC;13;17;8;Less than bachelor's
152500;Man;IC;6;17;4;Master's
51000;Woman;IC;21;35;21;Bachelor's
105000;Man;IC;4;17;2;Master's
80000;Man;Manager;8;22;6;Master's
126000;Man;IC;22;16;22;Bachelor's
100000;Man;IC;20;20;18;Less than bachelor's
77250;Man;IC;5;18;2;Bachelor's
55000;Man;IC;5;19;1;Less than bachelor's
104000;Man;IC;10;18;3;Master's
84000;Woman;IC;7;19;3;Bachelor's
58000;Man;IC;10;15;3;Bachelor's
130000;Man;IC;8;12;7;Less than bachelor's
60000;Man;IC;5;16;Less than 1 year;Bachelor's
144000;Man;IC;20;14;17;Bachelor's
84000;Man;IC;40;10;20;Bachelor's
107000;Man;IC;8;20;5;Bachelor's
90000;Man;IC;14;15;9;Bachelor's
75000;Man;IC;9;10;3;Bachelor's
85000;Man;IC;6;15;3;Bachelor's
105000;Man;IC;7;16;2;Bachelor's
67000;Man;IC;12;16;5;Bachelor's
56800;Woman;IC;2;26;1;Master's
215000;Man;Manager;25;10;12;Less than bachelor's
115000;Man;IC;16;16;8;Less than bachelor's
130000;Man;IC;25;10;19;Master's
75000;Man;IC;13;12;6;Bachelor's
71085;Man;IC;30;10;5;Bachelor's
147500;Man;IC;20;13;15;Bachelor's
35000;Man;Manager;37;18;33;Bachelor's
125000;Woman;IC;15;14;7;Master's
110000;Man;Manager;20;12;10;Bachelor's
80000;Man;IC;13;10;Less than 1 year;Bachelor's
75000;Man;IC;35;15;33;Master's
159500;Man;IC;19;14;17;Less than bachelor's
74000;Man;IC;8;18;4;Bachelor's
75000;Man;IC;11;19;8;Bachelor's
58000;Man;IC;7;15;5;Bachelor's
110000;Man;Manager;10;15;8;Bachelor's
82500;Man;IC;6;12;5;Bachelor's
85000;Man;IC;25;10;23;Master's
149000;Man;IC;38;11;28;Bachelor's
64000;Man;IC;4;20;2;Bachelor's
52000;Man;IC;7;16;2;Bachelor's
180000;Man;IC;25;8;22;Bachelor's
75000;Man;IC;10;35;5;PhD
190000;Man;Manager;34;15;32;Less than bachelor's
150000;Man;IC;25;13;19;Master's
80000;Man;IC;8;14;3;Less than bachelor's
70000;Man;IC;8;19;2;Master's
101000;Man;IC;6;15;3;Bachelor's
155000;Man;Manager;35;5;10;Master's
90000;Man;IC;25;8;18;Bachelor's
143000;Man;Manager;18;14;20;Less than bachelor's
115000;Woman;IC;4;19;3;Bachelor's
66000;Man;IC;15;10;8;Less than bachelor's
85000;Man;IC;5;20;4;Bachelor's
62000;Man;IC;18;12;1;Master's
41000;Man;IC;14;25;10;Less than bachelor's
100000;Man;IC;5;17;2;Bachelor's
50000;Man;IC;5;11;2;Less than bachelor's
75000;Woman;Manager;6;16;3;Master's
93000;Man;IC;7;23;6;Bachelor's
110000;Man;IC;38;29;38;Bachelor's
105000;Man;IC;5;20;2;Bachelor's
115000;Man;IC;26;13;26;Less than bachelor's
90000;Man;IC;5;27;3;Bachelor's
40000;Man;IC;6;17;2;Bachelor's
70000;Man;IC;10;16;1;Master's
130000;Woman;IC;2;21;2;Bachelor's
70000;Man;IC;8;17;1;Master's
110000;Man;IC;7;9;7;Master's
70000;Man;IC;8;15;3;NA
120000;Woman;IC;10;18;6;Bachelor's
68000;Man;IC;20;15;12;Less than bachelor's
80000;Man;IC;14;19;7;PhD
87000;Man;IC;14;10;5;Bachelor's
85000;Man;IC;11;13;2;Bachelor's
125091;Man;IC;22;9;14;Master's
74000;Man;IC;10;10;10;Less than bachelor's
68500;Man;IC;3;12;2;Master's
90000;Man;IC;23;23;21;Less than bachelor's
72000;Man;IC;11;12;1;Bachelor's
87000;Woman;IC;6;18;Less than 1 year;Master's
146000;Woman;IC;5;25;4;Bachelor's
40000;Man;IC;2;26;Less than 1 year;Less than bachelor's
94000;Man;IC;22;12;15;Master's
44000;Man;IC;7;13;4;Bachelor's
80000;Man;IC;45;13;35;Less than bachelor's
85000;Man;IC;7;20;5;Bachelor's
130000;Man;IC;7;15;2;Bachelor's
145000;Man;IC;6;18;6;Bachelor's
84000;Man;IC;38;13;26;Bachelor's
112500;Man;IC;16;7;12;Master's
157080;Man;IC;15;8;9;Bachelor's
90000;Man;IC;8;21;1;Bachelor's
105000;Man;IC;35;17;25;NA
160000;Woman;IC;4;13;Less than 1 year;Less than bachelor's
115000;Man;IC;15;5;12;Master's
64680;Man;IC;8;15;Less than 1 year;Bachelor's
90000;Man;IC;18;16;18;Bachelor's
175000;Man;Manager;20;11;15;Bachelor's
54000;Man;Manager;12;13;10;PhD
85000;Man;IC;31;13;19;Less than bachelor's
160000;Man;IC;41;12;31;PhD
133500;Man;IC;12;13;4;Bachelor's
40000;Woman;IC;8;18;6;PhD
82000;Man;IC;8;14;4;Bachelor's
160000;Man;IC;6;8;6;Bachelor's
150000;Man;IC;30;14;25;Bachelor's
69000;Man;IC;6;12;3;Bachelor's
40000;Man;IC;4;10;3;Less than bachelor's
115000;Woman;IC;12;13;12;Bachelor's
70000;Man;IC;2;26;1;Bachelor's
130000;Man;Manager;13;11;7;Bachelor's
132000;Man;IC;23;11;19;Master's
70000;Man;IC;10;19;3;Bachelor's
66600;Man;IC;4;11;2;Master's
40000;Man;IC;8;16;8;Bachelor's
110000;Man;IC;15;8;12;Less than bachelor's
55000;Woman;IC;4;22;2;Less than bachelor's
350000;Man;IC;18;12;12;Bachelor's
81500;Man;IC;8;11;7;Master's
156000;Man;IC;8;18;4;Bachelor's
175000;Man;IC;19;12;11;Less than bachelor's
133000;Man;IC;30;6;14;Bachelor's
96000;Man;IC;5;19;2;Bachelor's
83000;Man;IC;5;20;2;Master's
120000;Man;IC;20;14;11;Less than bachelor's
95000;Man;IC;10;19;6;Bachelor's
140000;Man;IC;23;10;12;Bachelor's
71500;Man;IC;11;10;3;Bachelor's
128000;Man;IC;14;11;3;Bachelor's
70000;Man;IC;9;19;6;Bachelor's
114000;Man;Manager;18;18;18;Bachelor's
260000;Man;IC;27;14;21;PhD
117000;Man;IC;18;13;12;Bachelor's
140000;Man;IC;22;13;11;Less than bachelor's
138000;Man;IC;8;17;3;Bachelor's
150000;Man;IC;18;20;13;Bachelor's
140000;Man;IC;25;12;13;Bachelor's
100000;Man;IC;40;16;32;Bachelor's
57000;Man;IC;4;18;Less than 1 year;Bachelor's
170000;Man;Manager;15;10;10;Bachelor's
67000;Man;IC;5;15;4;Less than bachelor's
280000;Man;IC;18;14;9;Master's
92000;Man;IC;20;11;8;Bachelor's
88000;Man;Manager;14;11;9;Less than bachelor's
110000;Man;IC;25;14;20;Less than bachelor's
126000;Man;IC;22;15;18;Bachelor's
150000;Man;IC;12;14;8;Bachelor's
70000;Man;IC;11;13;4;Bachelor's
120000;Man;IC;29;14;19;Bachelor's
83000;Man;IC;17;10;12;Bachelor's
75000;Man;IC;8;18;4;Bachelor's
95000;Man;IC;2;10;2;Bachelor's
95000;Man;Manager;20;8;15;Bachelor's
150000;Man;IC;4;13;2;Bachelor's
130000;Man;IC;30;8;25;Less than bachelor's
135470;Man;IC;25;12;14;Master's
70000;Man;IC;35;12;20;PhD
130000;Man;IC;19;11;13;Master's
138000;Man;IC;21;13;13;Bachelor's
108470;Man;IC;4;14;2;Bachelor's
102000;Man;IC;11;16;5;Bachelor's
105000;Man;Manager;10;17;7;Less than bachelor's
140000;Man;IC;21;14;12;Less than bachelor's
130000;Man;IC;Less than 1 year;19;5;Bachelor's
100000;Man;Manager;6;16;2;Bachelor's
70000;Man;IC;5;13;3;Bachelor's
250000;Man;IC;30;19;18;Master's
69500;Man;IC;7;14;4;Bachelor's
70000;Man;IC;6;22;4;Master's
120000;Man;IC;33;15;29;Master's
135000;Man;IC;35;11;13;Master's
143500;Man;IC;13;12;6;Bachelor's
105000;Man;IC;14;15;7;Bachelor's
91500;Man;IC;12;15;5;Bachelor's
109000;Man;Manager;30;10;20;Bachelor's
72500;Man;IC;4;13;2;Bachelor's
85000;Man;IC;6;16;Less than 1 year;Bachelor's
140000;Man;IC;30;8;25;Less than bachelor's
176230;Man;IC;20;10;15;Less than bachelor's
180000;Man;Manager;27;11;17;Bachelor's
100000;Man;Manager;16;15;11;Less than bachelor's
100000;Woman;IC;5;20;3;Bachelor's
124000;Man;IC;19;14;19;Master's
60000;Man;IC;10;15;1;Bachelor's
156000;Man;IC;26;11;17;PhD
50000;Woman;IC;16;16;10;Bachelor's
80000;Man;IC;2;13;Less than 1 year;Bachelor's
337000;Man;Manager;49;15;48;Less than bachelor's
135000;Man;IC;21;10;10;Less than bachelor's
130000;Man;IC;18;16;13;Bachelor's
135000;Woman;IC;5;14;2;Bachelor's
200000;Man;Manager;16;11;10;Master's
90000;Man;IC;7;21;1;Bachelor's
240000;Man;IC;14;14;3;Master's
85000;Man;Manager;25;10;3;Bachelor's
153500;Man;IC;9;18;4;Bachelor's
91000;Man;IC;25;12;22;Bachelor's
84000;Man;IC;4;23;2;Master's
65000;Man;IC;7;16;2;Bachelor's
70000;Man;IC;4;15;Less than 1 year;Master's
123000;Man;IC;6;14;4;Bachelor's
161000;Man;IC;9;12;3;Master's
90000;Woman;IC;10;10;4;Master's
100000;Man;IC;13;16;6;Master's
110000;Man;IC;20;17;18;Bachelor's
68000;Man;IC;9;14;2;Bachelor's
80000;Man;Manager;44;19;44;Bachelor's
126000;Man;IC;20;23;15;Master's
110000;Woman;IC;12;14;9;Bachelor's
75000;Man;IC;8;12;5;Less than bachelor's
58000;Man;IC;8;18;1;Bachelor's
100000;Man;Manager;NA;10;25;Bachelor's
99000;Man;IC;5;18;2;Bachelor's
120000;Man;IC;30;10;20;Master's
240000;Man;Manager;36;14;14;Less than bachelor's
95000;Woman;IC;7;19;3;Master's
70000;Man;IC;7;20;5;Bachelor's
155000;Man;Manager;21;16;20;Less than bachelor's
250000;Man;IC;32;Younger than 5 years;19;PhD
175000;Man;IC;20;20;10;Master's
95000;Man;IC;11;18;6;Bachelor's
68000;Man;IC;4;23;4;Bachelor's
113000;Man;IC;4;21;4;Less than bachelor's
160000;Man;IC;10;11;8;Bachelor's
57000;Man;IC;8;10;3;Less than bachelor's
37000;Man;IC;2;11;Less than 1 year;Less than bachelor's
170000;Man;IC;25;12;19;PhD
85000;Man;IC;5;19;3;Bachelor's
180000;Man;IC;9;20;7;Less than bachelor's
108000;Woman;IC;6;14;2;Bachelor's
40000;Man;IC;5;16;3;Less than bachelor's
50000;Man;IC;3;19;Less than 1 year;Bachelor's
130000;Man;IC;9;17;3;Master's
173000;Man;IC;40;12;35;Master's
128000;Man;Manager;17;18;13;Bachelor's
76450;Man;Manager;30;12;25;Bachelor's
140000;Woman;Manager;2;13;5;Master's
125000;Man;IC;19;16;16;Bachelor's
105000;Man;IC;2;14;Less than 1 year;Professional
220000;Man;Manager;23;12;20;Bachelor's
140000;Man;IC;21;12;11;Bachelor's
67000;Man;IC;8;14;6;Less than bachelor's
157000;Man;Manager;15;15;12;Bachelor's
100000;Man;IC;12;14;3;Less than bachelor's
155000;Man;Manager;3;18;8;Master's
140000;Man;IC;8;15;8;Less than bachelor's
145000;Man;IC;5;12;4;Bachelor's
75000;Man;IC;4;35;3;Bachelor's
90000;Woman;IC;8;12;6;Bachelor's
70000;Man;IC;9;14;Less than 1 year;Bachelor's
100000;Man;IC;18;13;14;Master's
55000;Man;IC;12;11;1;Bachelor's
69300;Man;IC;15;17;4;Bachelor's
112000;Woman;IC;11;12;3;Bachelor's
115000;Woman;IC;18;21;14;Bachelor's
100000;Woman;IC;17;18;8;Master's
105000;Man;Manager;8;15;4;Bachelor's
115000;Man;IC;12;16;9;Bachelor's
115000;Man;IC;8;15;4;Bachelor's
139150;Man;IC;12;12;6;Less than bachelor's
420000;Man;IC;13;13;6;Less than bachelor's
120000;Man;IC;15;13;6;Bachelor's
100000;Man;IC;12;10;Less than 1 year;Less than bachelor's
80000;Man;IC;7;18;3;Bachelor's
106500;Man;IC;10;18;5;Bachelor's
66300;Man;IC;6;15;4;Bachelor's
63000;Man;IC;5;10;3;Bachelor's
60000;Woman;IC;14;15;3;Bachelor's
55000;Man;IC;5;11;2;Bachelor's
132000;Man;IC;23;8;11;Master's
185000;Man;IC;10;19;7;PhD
98000;Woman;IC;6;24;3;PhD
140000;Man;IC;4;13;4;Master's
150000;Man;Manager;25;7;16;Bachelor's
120000;Man;IC;6;18;5;Bachelor's
430000;Man;IC;15;15;6;Bachelor's
110000;Man;IC;20;23;15;Less than bachelor's
129000;Woman;IC;7;15;Less than 1 year;Master's
125000;Man;IC;12;14;8;Bachelor's
130000;Man;IC;8;14;4;Bachelor's
89000;Man;IC;8;13;3;Bachelor's
240000;Man;IC;26;14;23;Less than bachelor's
87000;Man;IC;15;15;8;Bachelor's
60000;Man;IC;3;29;3;Bachelor's
85000;Man;IC;7;14;3;Bachelor's
126000;Woman;IC;1;20;Less than 1 year;Master's
91000;Man;IC;8;20;5;Bachelor's
151000;Man;IC;15;15;10;Bachelor's
150552;Woman;IC;7;17;5;PhD
190000;Man;Manager;36;12;27;Master's
135000;Man;IC;13;15;8;Bachelor's
103000;Woman;IC;8;15;3;Bachelor's
85000;Man;IC;17;17;11;Master's
75000;Man;IC;7;17;2;Master's
55000;Man;IC;4;22;2;Less than bachelor's
50000;Woman;IC;10;8;6;Bachelor's
40000;Man;IC;19;11;9;Master's
150000;Man;Manager;14;9;12;Bachelor's
100000;Man;IC;32;10;11;PhD
137000;Man;IC;11;14;6;Bachelor's
129000;Man;IC;13;30;4;Master's
76000;Man;IC;5;10;4;Bachelor's
60000;Man;IC;12;12;5;Less than bachelor's
182000;Man;Manager;14;15;10;Bachelor's
160000;Man;Manager;20;18;18;Bachelor's
120000;Man;IC;40;12;28;Less than bachelor's
125000;Man;IC;29;15;23;Bachelor's
125000;Man;IC;40;10;32;Bachelor's
125000;Man;Manager;12;17;7;Bachelor's
400000;Man;IC;12;12;5;PhD
100000;Man;IC;6;18;1;Bachelor's
104000;Man;IC;9;16;7;Less than bachelor's
50000;Woman;IC;20;21;20;Less than bachelor's
72600;Woman;IC;20;10;15;Bachelor's
63000;Man;IC;12;10;2;Bachelor's
99000;Man;IC;13;12;8;Bachelor's
200000;Man;IC;14;9;10;Bachelor's
185000;Man;Manager;33;7;22;Master's
130000;Man;IC;27;14;23;Bachelor's
142000;Man;IC;25;13;23;Less than bachelor's
89400;Man;IC;37;19;20;Bachelor's
135000;Man;IC;20;14;12;Bachelor's
160000;Man;IC;10;16;5;Less than bachelor's
67000;Man;IC;5;19;3;Bachelor's
123000;Man;IC;12;28;10;Less than bachelor's
97075;Man;IC;10;13;5;Bachelor's
225000;Man;IC;9;16;8;Bachelor's
100000;Man;IC;8;17;4;Bachelor's
110000;Man;Manager;10;22;8;Master's
78000;Man;IC;12;16;6;Bachelor's
100000;Man;IC;10;10;7;Bachelor's
170000;Man;IC;12;14;7;Bachelor's
80000;Man;IC;6;18;3;Bachelor's
110000;Man;IC;7;10;5;Master's
66000;Man;IC;3;20;Less than 1 year;Less than bachelor's
165000;Man;IC;12;29;14;Master's
121500;Man;IC;20;25;20;Less than bachelor's
110000;Man;Manager;20;14;15;Bachelor's
100000;Man;IC;8;16;2;Bachelor's
100000;Man;IC;5;23;3;Bachelor's
50000;Man;IC;5;19;1;Bachelor's
70000;Man;IC;10;14;8;Less than bachelor's
115000;Man;IC;21;14;11;Bachelor's
110000;Man;IC;22;11;12;Less than bachelor's
65000;Woman;IC;5;25;3;Bachelor's
75000;Woman;IC;2;16;1;Bachelor's
110000;Man;IC;2;19;2;Bachelor's
106000;Man;Manager;20;13;8;Bachelor's
70000;Man;IC;10;13;7;Less than bachelor's
63000;Man;Manager;3;12;2;Master's
83750;Man;IC;3;14;2;Bachelor's
67250;Woman;IC;3;23;2;Bachelor's
130000;Man;Manager;18;13;NA;PhD
130000;Man;Manager;20;14;14;Master's
166600;Man;IC;6;16;1;Bachelor's
105000;Man;IC;4;14;4;Bachelor's
80750;Woman;IC;3;19;3;Master's
100000;Man;IC;20;17;17;Bachelor's
179000;Man;IC;22;16;15;Master's
117000;Man;IC;22;9;10;Bachelor's
100000;Man;IC;15;24;14;Bachelor's
112600;Man;IC;5;25;4;Bachelor's
115000;Man;IC;14;14;10;Less than bachelor's
49188;Woman;IC;14;10;10;PhD
100000;Man;IC;35;10;27;Bachelor's
60000;Man;IC;7;19;2;Bachelor's
150000;Man;IC;15;20;10;Bachelor's
135000;Man;IC;18;13;9;Bachelor's
120000;Man;IC;17;12;14;Master's
137000;Man;IC;14;19;12;Bachelor's
150000;Woman;IC;5;14;4;Bachelor's
77000;Man;IC;4;22;4;Master's
115000;Man;IC;11;12;9;Master's
115000;Woman;IC;6;18;2;Bachelor's
160000;Man;IC;25;10;13;Bachelor's
90000;Man;IC;5;20;Less than 1 year;Master's
76500;Man;IC;10;16;5;Bachelor's
95000;Man;Manager;7;25;7;Bachelor's
85000;Man;IC;15;14;5;Master's
120000;Man;IC;16;9;9;Less than bachelor's
117500;Man;IC;16;10;14;Bachelor's
70000;Man;IC;13;31;7;Less than bachelor's
40000;Man;IC;3;30;Less than 1 year;Bachelor's
73102;Man;IC;8;18;4;Bachelor's
98000;Man;IC;5;12;3;Master's
300000;Man;IC;19;15;10;Master's
170000;Man;IC;33;12;21;Bachelor's
150000;Man;IC;20;12;10;Bachelor's
75000;Man;IC;11;13;9;Bachelor's
101500;Man;IC;6;19;2;Master's
70000;Man;IC;10;15;2;Less than bachelor's
103000;Woman;IC;22;35;21;Bachelor's
215000;Man;IC;20;13;11;Less than bachelor's
270000;Man;Manager;32;12;27;Bachelor's
36000;Man;IC;18;18;18;Master's
82000;Man;IC;2;27;2;Master's
260000;Man;Manager;37;12;25;Master's
97000;Man;IC;12;12;10;Master's
75000;Man;IC;3;24;Less than 1 year;Bachelor's
104000;Man;IC;12;15;8;Bachelor's
187000;Man;IC;41;21;41;Master's
100000;Man;IC;12;16;7;Bachelor's
135000;Man;IC;23;12;15;Bachelor's
93000;Man;IC;16;20;1;PhD
64000;Man;Manager;15;15;12;Master's
130000;Man;IC;17;13;9;Less than bachelor's
130000;Man;IC;19;15;10;Bachelor's
65000;Woman;IC;10;16;10;Bachelor's
125000;Man;IC;2;21;2;Bachelor's
165600;Man;IC;4;17;4;Bachelor's
200000;Man;IC;26;7;20;Bachelor's
68000;Man;IC;10;15;2;Bachelor's
90000;Man;IC;7;27;7;Bachelor's
86100;Man;IC;22;8;4;Less than bachelor's
95000;Man;Manager;18;11;10;Bachelor's
110000;Woman;IC;10;27;8;Less than bachelor's
250000;Man;IC;12;14;11;Master's
110000;Man;IC;5;24;2;Master's
120000;Man;IC;11;15;5;Bachelor's
150000;Man;Manager;22;10;18;Bachelor's
150000;Woman;IC;17;14;5;Master's
250000;Man;IC;10;13;5;Bachelor's
70000;Man;IC;20;10;10;Bachelor's
120000;Man;IC;8;12;1;Bachelor's
105000;Man;IC;18;12;10;Less than bachelor's
80000;Man;IC;7;17;Less than 1 year;Master's
150000;Man;Manager;15;15;7;Bachelor's
104750;Man;IC;21;18;21;Bachelor's
125000;Man;IC;22;12;15;Bachelor's
85000;Man;IC;6;13;5;Bachelor's
103000;Man;IC;27;12;25;Bachelor's
45700;Man;IC;16;13;5;Bachelor's
34000;Woman;IC;8;14;6;Bachelor's
75000;Man;IC;8;14;2;Bachelor's
125000;Man;IC;18;14;13;Bachelor's
51000;Man;IC;16;13;11;Less than bachelor's
140000;Man;IC;10;18;6;Bachelor's
80000;Man;IC;30;10;25;Less than bachelor's
200000;Man;IC;12;10;5;Bachelor's
47000;Man;IC;6;13;4;Less than bachelor's
85000;Man;IC;11;16;6;Bachelor's
120000;Man;IC;20;6;20;Bachelor's
155000;Man;IC;25;10;25;Less than bachelor's
90000;Man;IC;21;16;15;Bachelor's
140000;Man;Manager;28;7;14;Less than bachelor's
60000;Man;IC;7;13;3;Bachelor's
73000;Man;IC;8;18;4;Bachelor's
148400;Woman;IC;20;14;12;Bachelor's
76000;Man;IC;11;14;7;Less than bachelor's
97000;Man;IC;6;19;3;Master's
120000;Woman;IC;18;13;6;Bachelor's
120000;Man;IC;18;14;13;Less than bachelor's
115000;Man;IC;5;26;3;Bachelor's
140000;Man;IC;10;22;5;Master's
110000;Man;IC;12;17;7;Bachelor's
225000;Man;IC;30;11;22;Less than bachelor's
65000;Woman;IC;10;11;7;Bachelor's
150000;Man;Manager;8;18;4;Master's
130000;Man;Manager;30;17;30;PhD
69000;Man;IC;5;13;2;Bachelor's
125000;Man;IC;37;16;30;Bachelor's
155000;Woman;IC;12;17;7;Bachelor's
110000;Man;IC;7;15;1;Bachelor's
145000;Man;IC;6;17;1;Bachelor's
134000;Man;IC;10;12;5;PhD
165000;Man;IC;16;12;13;Bachelor's
