CompTotal;Gender;Manager;YearsCode;Age1stCode;YearsCodePro;Education
101000;Man;IC;13;19;10;Bachelor's
120000;Man;IC;4;19;3;Less than bachelor's
310000;Man;Manager;18;16;12;Bachelor's
125000;Man;IC;23;14;19;Bachelor's
210000;Man;IC;6;20;4;Bachelor's
80000;Man;IC;7;13;2;Bachelor's
100000;Man;IC;10;14;4;Bachelor's
100000;Man;IC;20;12;20;Bachelor's
120000;Man;IC;10;15;Less than 1 year;Bachelor's
900000;Man;IC;1;19;1;Less than bachelor's
85000;Man;IC;23;9;13;Master's
113000;Man;IC;21;14;15;Less than bachelor's
70000;Man;IC;12;14;4;Bachelor's
125000;Man;IC;11;15;6;Bachelor's
170000;Woman;IC;12;18;7;Bachelor's
110000;Man;IC;2;18;2;Bachelor's
82000;Man;IC;7;14;2;Bachelor's
112000;Man;IC;11;17;6;Bachelor's
116000;Man;IC;18;16;13;Bachelor's
220000;Man;IC;14;17;8;Bachelor's
85000;Man;IC;8;17;8;Bachelor's
150000;Man;IC;18;12;7;Bachelor's
81995;Man;IC;7;15;5;Less than bachelor's
50000;Man;IC;9;13;3;Less than bachelor's
140000;Man;IC;7;20;4;Bachelor's
51500;Man;IC;3;14;1;Bachelor's
180000;Man;IC;30;16;30;Bachelor's
52000;Man;IC;9;19;4;Less than bachelor's
40000;Man;IC;2;25;Less than 1 year;Bachelor's
350000;Man;Manager;34;11;27;Less than bachelor's
250000;Man;IC;13;10;10;Less than bachelor's
90000;Man;IC;7;15;4;Bachelor's
140000;Man;IC;5;18;4;Bachelor's
165000;Man;Manager;35;17;30;Master's
123000;Woman;IC;20;7;20;Bachelor's
100000;Man;IC;30;20;11;Less than bachelor's
150000;Man;IC;20;12;15;Bachelor's
200000;Man;IC;6;21;3;Less than bachelor's
62000;Man;IC;25;15;10;Bachelor's
82650;Man;IC;12;12;7;Master's
130000;Man;IC;15;11;4;Bachelor's
22000;Man;IC;10;12;7;Master's
100000;Man;IC;22;13;19;Bachelor's
150000;Man;IC;17;13;11;Bachelor's
108000;Man;IC;40;15;34;Less than bachelor's
155000;Man;IC;21;20;17;Bachelor's
160000;Man;IC;14;12;8;Bachelor's
92000;Man;IC;4;21;3;Bachelor's
1000000;Man;Manager;6;26;6;Bachelor's
67000;Man;IC;7;15;3;Bachelor's
67000;Man;IC;7;17;3;Bachelor's
87000;Man;IC;6;17;4;Bachelor's
74000;Man;IC;6;14;2;Bachelor's
110000;Man;Manager;18;9;14;Less than bachelor's
170000;Man;IC;6;16;Less than 1 year;Bachelor's
110000;Man;IC;11;16;5;Master's
135000;Man;IC;7;14;2;Bachelor's
80000;Man;IC;13;14;5;Bachelor's
225000;Man;IC;15;11;6;Less than bachelor's
90000;Man;IC;6;24;4;Bachelor's
64138;Man;IC;14;12;10;Bachelor's
68000;Woman;IC;6;18;2;Bachelor's
88000;Man;IC;8;18;3;Bachelor's
65000;Man;Manager;13;18;8;Bachelor's
58000;Man;IC;20;14;12;Bachelor's
99000;Man;IC;10;18;10;Master's
140000;Man;Manager;18;8;5;Master's
115000;Man;IC;3;30;2;Less than bachelor's
95000;Man;IC;9;16;3;Bachelor's
75000;Man;IC;5;23;2;Bachelor's
70000;Man;IC;7;16;3;Bachelor's
190000;Man;IC;12;17;8;Master's
58000;Man;IC;5;22;2;Bachelor's
87000;Man;IC;11;15;8;Bachelor's
117000;Man;IC;7;14;1;Bachelor's
101250;Man;IC;6;16;2;Bachelor's
235000;Man;Manager;12;17;12;Bachelor's
76000;Man;Manager;10;10;7;Master's
90000;Woman;IC;18;11;7;Bachelor's
115000;Man;IC;18;12;17;Bachelor's
72000;Man;IC;10;11;6;Bachelor's
65000;Man;IC;20;17;10;Master's
280000;Man;IC;10;13;8;Bachelor's
200000;Man;Manager;45;13;40;Master's
65000;Man;IC;5;18;2;Bachelor's
36000;Man;IC;7;12;3;Less than bachelor's
101500;Man;IC;3;25;2;Bachelor's
95000;Man;Manager;9;10;5;Bachelor's
78000;Man;Manager;40;12;4;Less than bachelor's
180000;Man;IC;19;16;14;Bachelor's
116000;Man;IC;35;15;25;Bachelor's
90000;Woman;IC;3;36;2;Bachelor's
